Match Date,Home Team,Away Team,Score,Points Home Team,Points Away Team,Total Points,Attendance,Referee,Referee Nationality,Kickoff Time
30 September 2007,France ,Georgia,   64–7   ,64,7,71,58695,Alan Lewis,Ireland,15:00
30 September 2007,Ireland ,Argentina,   15–30   ,15,30,45,45450,Paul Honiss,New Zealand,17:00
6 October 2007,Australia ,England,   10–12   ,10,12,22,59102,Alain Rolland,Ireland,15:00
6 October 2007,New Zealand ,France,   18–20   ,18,20,38,71669,Wayne Barnes,England,21:00
7 October 2007,South Africa ,Fiji,   37–20   ,37,20,57,55943,Alan Lewis,Ireland,15:00
7 October 2007,Argentina ,Scotland,   19–13   ,19,13,32,76866,Joël Jutge,France,21:00
13 October 2007,England ,France,   14–9   ,14,9,23,80283,Jonathan Kaplan,South Africa,21:00
14 October 2007,South Africa ,Argentina,   37–13   ,37,13,50,77055,Steve Walsh,New Zealand,21:00
19 October 2007,France ,Argentina,   10–34   ,10,34,44,45958,Paul Honiss,New Zealand,21:00
20 October 2007,England ,South Africa,   6–15   ,6,15,21,80430,Alain Rolland,Ireland,21:00
2011-09-09,New Zealand ,Tonga,   41–10   ,41,10,51,60214,George Clancy,Ireland,20:30
2011-09-10,France ,Japan,   47–21   ,47,21,68,28569,Steve Walsh,Australia,18:00
2011-09-14,Tonga ,Canada,   20–25   ,20,25,45,17174,Jonathan Kaplan,South Africa,17:00
2011-09-16,New Zealand ,Japan,   83–7   ,83,7,90,30484,Nigel Owens,Wales,20:00
2011-09-18,France ,Canada,   46–19   ,46,19,65,14230,Craig Joubert,South Africa,20:30
2011-09-21,Tonga ,Japan,   31–18   ,31,18,49,17364,Dave Pearson,England,19:30
2011-09-24,New Zealand ,France,   37–17   ,37,17,54,60856,Alain Rolland,Ireland,20:30
2011-09-27,Canada ,Japan,   23–23   ,23,23,46,14335,Jonathan Kaplan,South Africa,17:00
2011-10-01,France ,Tonga,   14–19   ,14,19,33,32763,Steve Walsh,Australia,18:00
2011-10-02,New Zealand ,Canada,   79–15   ,79,15,94,37665,Romain Poite,France,15:30
2011-09-10,Scotland ,Romania,   34–24   ,34,24,58,12592,Dave Pearson,England,13:00
2011-09-10,Argentina ,England,   9–13   ,9,13,22,30700,Bryce Lawrence,New Zealand,20:30
2011-09-14,Scotland ,Georgia,   15–6   ,15,6,21,10267,George Clancy,Ireland,19:30
2011-09-17,Argentina ,Romania,   43–8   ,43,8,51,12605,Steve Walsh,Australia,15:30
2011-09-18,England ,Georgia,   41–10   ,41,10,51,20117,Jonathan Kaplan,South Africa,18:00
2011-09-24,England ,Romania,   67–3   ,67,3,70,25687,Romain Poite,France,18:00
2011-09-25,Argentina ,Scotland,   13–12   ,13,12,25,26937,Wayne Barnes,England,20:30
2011-09-28,Georgia ,Romania,   25–9   ,25,9,34,13228,Dave Pearson,England,19:30
2011-10-01,England ,Scotland,   16–12   ,16,12,28,58213,Craig Joubert,South Africa,20:30
2011-10-02,Argentina ,Georgia,   25–7   ,25,7,32,13754,Alain Rolland,Ireland,13:00
2011-09-11,Australia ,Italy,   32–6   ,32,6,38,25731,Alain Rolland,Ireland,15:30
2011-09-11,Ireland ,United States,   22–10   ,22,10,32,20823,Craig Joubert,South Africa,18:00
2011-09-15,Russia ,United States,   6–13   ,6,13,19,13931,Dave Pearson,England,19:30
2011-09-17,Australia ,Ireland,   6–15   ,6,15,21,58678,Bryce Lawrence,New Zealand,20:30
2011-09-20,Italy ,Russia,   53–17   ,53,17,70,12418,Wayne Barnes,England,19:30
2011-09-23,Australia ,United States,   67–5   ,67,5,72,33824,Nigel Owens,Wales,20:30
2011-09-25,Ireland ,Russia,   62–12   ,62,12,74,25661,Craig Joubert,South Africa,18:00
2011-09-27,Italy ,United States,   27–10   ,27,10,37,14997,George Clancy,Ireland,19:30
2011-10-01,Australia ,Russia,   68–22   ,68,22,90,16307,Bryce Lawrence,New Zealand,15:30
2011-10-02,Ireland ,Italy,   36–6   ,36,6,42,28027,Jonathan Kaplan,South Africa,20:30
2011-09-10,Fiji ,Namibia,   49–25   ,49,25,74,10100,Nigel Owens,Wales,15:30
2011-09-11,South Africa ,Wales,   17–16   ,17,16,33,33331,Wayne Barnes,England,20:30
2011-09-14,Samoa ,Namibia,   49–12   ,49,12,61,12752,Romain Poite,France,14:30
2011-09-17,South Africa ,Fiji,   49–3   ,49,3,52,33262,Romain Poite,France,18:00
2011-09-18,Wales ,Samoa,   17–10   ,17,10,27,30804,Alain Rolland,Ireland,15:30
2011-09-22,South Africa ,Namibia,   87–0   ,87,0,87,26839,George Clancy,Ireland,20:00
2011-09-25,Fiji ,Samoa,   7–27   ,7,27,34,60327,Bryce Lawrence,New Zealand,15:30
2011-09-26,Wales ,Namibia,   81–7   ,81,7,88,13710,Steve Walsh,Australia,19:30
2011-09-30,South Africa ,Samoa,   13–5   ,13,5,18,29734,Nigel Owens,Wales,20:30
2011-10-02,Wales ,Fiji,   66–0   ,66,0,66,28476,Wayne Barnes,England,18:00
2011-10-08,Ireland ,Wales,   10–22   ,10,22,32,35787,Craig Joubert,South Africa,18:00
2011-10-08,England ,France,   12–19   ,12,19,31,49105,Steve Walsh,Australia,20:30
2011-10-09,South Africa ,Australia,   9–11   ,9,11,20,34914,Bryce Lawrence,New Zealand,18:00
2011-10-09,New Zealand ,Argentina,   33–10   ,33,10,43,57192,Nigel Owens,Wales,20:30
2011-10-15,Wales ,France,   8–9   ,8,9,17,58630,Alain Rolland,Ireland,21:00
2011-10-16,Australia ,New Zealand,   6–20   ,6,20,26,60087,Craig Joubert,South Africa,21:00
2011-10-21,Wales ,Australia,   18–21   ,18,21,39,53014,Wayne Barnes,England,20:30
2011-10-23,France ,New Zealand,   7–8   ,7,8,15,61079,Craig Joubert,South Africa,21:00
2015-09-18,England ,Fiji,   35–11   ,35,11,46,80015,Jaco Peyper,South Africa,20:00
2015-09-20,Wales ,Uruguay,   54–9   ,54,9,63,71887,Romain Poite,France,14:30
2015-09-23,Australia ,Fiji,   28–13   ,28,13,41,67253,Glen Jackson,New Zealand,16:45
2015-09-26,England ,Wales,   25–28   ,25,28,53,81129,Jérôme Garcès,France,20:00
2015-09-27,Australia ,Uruguay,   65–3   ,65,3,68,39605,Pascal Gaüzère,France,12:00
2015-10-01,Wales ,Fiji,   23–13   ,23,13,36,71576,John Lacey,Ireland,16:45
